                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1473,                  5.967,                 2.8417,                0.03575,                0.12808,                 0.0099,                0.00316,                    nan,                    nan,                    nan,             0.00066162,             0.00066162,             0.00066162
                      2,                 3.3781,                 2.6704,                 2.9022,                0.39881,                0.45813,                0.34322,                0.17955,                 3.5864,                 6.6663,                 3.0968,              0.0013151,              0.0013151,              0.0013151
                      3,                 3.2929,                 2.5041,                 2.9034,                0.74469,                 0.6897,                0.76578,                0.39824,                  3.154,                 5.5934,                 2.7584,              0.0019554,              0.0019554,              0.0019554
