                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.5864,                 1.4501,                 2.9511,                0.89717,                  0.867,                0.93505,                0.60565,                 2.6906,                 1.2475,                 3.1101,             0.00048074,             0.00048074,             0.00048074
                     35,                 2.6274,                 1.4825,                 2.9611,                0.91252,                0.87359,                0.94924,                0.60619,                 2.7225,                 1.1306,                 3.1442,             0.00047367,             0.00047367,             0.00047367
                     36,                  2.523,                 1.3764,                 2.8687,                0.90944,                0.83744,                0.93495,                0.60544,                 2.6215,                 1.2192,                 3.0715,              0.0004666,              0.0004666,              0.0004666
                     37,                   2.53,                 1.3651,                  2.898,                0.91716,                0.81813,                0.94052,                0.58104,                 2.6878,                 1.2817,                 3.1382,             0.00045953,             0.00045953,             0.00045953
                     38,                  2.516,                  1.336,                 2.8484,                0.87029,                0.88177,                0.93685,                0.56005,                 2.7831,                 1.3259,                 3.1745,             0.00045246,             0.00045246,             0.00045246
                     39,                 2.5261,                 1.2979,                 2.8759,                 0.8977,                  0.867,                0.93732,                0.59304,                 2.7214,                 1.2601,                 3.1687,             0.00044539,             0.00044539,             0.00044539
                     40,                 2.4844,                  1.277,                 2.8494,                 0.9256,                  0.867,                0.94085,                 0.5834,                 2.7034,                  1.161,                 3.1155,             0.00043832,             0.00043832,             0.00043832
                     41,                 2.4464,                 1.2633,                 2.7983,                0.94399,                 0.8303,                 0.9459,                0.61177,                 2.6597,                 1.1674,                  3.132,             0.00043126,             0.00043126,             0.00043126
                     42,                 2.4678,                 1.2884,                 2.8229,                0.89363,                0.86913,                0.93805,                0.58021,                 2.6971,                 1.2271,                 3.1706,             0.00042419,             0.00042419,             0.00042419
                     43,                 2.5045,                 1.3023,                 2.8874,                  0.952,                0.87937,                0.95733,                0.59679,                 2.7341,                 1.1529,                  3.116,             0.00041712,             0.00041712,             0.00041712
                     44,                 2.3779,                 1.2373,                  2.724,                0.88482,                0.90823,                0.95195,                0.60234,                 2.7195,                 1.1345,                 3.1235,             0.00041005,             0.00041005,             0.00041005
                     45,                 2.4595,                 1.2432,                 2.8337,                0.91263,                0.83744,                0.93739,                0.57596,                 2.7143,                 1.2378,                 3.1405,             0.00040298,             0.00040298,             0.00040298
                     46,                 2.4102,                 1.1888,                 2.7932,                0.92309,                0.81281,                0.93533,                0.57996,                 2.6898,                 1.2505,                 3.1795,             0.00039591,             0.00039591,             0.00039591
                     47,                 2.4255,                 1.2577,                    2.8,                 0.8685,                0.87844,                0.94027,                0.59826,                 2.6907,                 1.1873,                 3.1004,             0.00038884,             0.00038884,             0.00038884
                     48,                 2.4159,                 1.2031,                 2.7824,                 0.9028,                0.90148,                0.96167,                0.61872,                 2.6941,                  1.074,                  3.082,             0.00038178,             0.00038178,             0.00038178
