                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.5934,                 2.0341,                 2.7981,                0.71713,                0.91899,                0.75762,                 0.4221,                 3.0543,                 1.5975,                 3.4166,             0.00055849,             0.00055849,             0.00055849
                     35,                 2.5714,                  2.051,                 2.7857,                0.70944,                0.94954,                 0.7608,                0.43686,                 2.9179,                 1.5254,                 3.3492,             0.00055378,             0.00055378,             0.00055378
                     36,                 2.5682,                  2.064,                 2.7851,                0.71752,                  0.934,                0.77099,                0.45266,                 2.8985,                 1.5206,                  3.256,             0.00054907,             0.00054907,             0.00054907
                     37,                 2.5686,                 2.0352,                 2.7873,                0.71666,                0.93059,                0.75086,                0.43758,                 2.9369,                 1.4959,                 3.3219,             0.00054435,             0.00054435,             0.00054435
                     38,                 2.5516,                 2.0067,                 2.7706,                0.71797,                0.93496,                0.75607,                0.43731,                 2.8926,                 1.4852,                 3.2866,             0.00053964,             0.00053964,             0.00053964
                     39,                 2.5448,                  2.041,                 2.8029,                0.71314,                0.93582,                 0.7489,                0.43497,                 2.9091,                 1.5251,                 3.3201,             0.00053493,             0.00053493,             0.00053493
                     40,                 2.5468,                 2.0381,                 2.7956,                0.70224,                0.92759,                0.74529,                0.43452,                 2.9512,                 1.5204,                 3.3184,             0.00053022,             0.00053022,             0.00053022
                     41,                 2.5604,                 2.0287,                 2.8057,                0.70379,                0.93796,                0.74175,                0.41698,                 3.0259,                 1.5252,                 3.3814,              0.0005255,              0.0005255,              0.0005255
                     42,                 2.5191,                 1.9587,                 2.7599,                0.71489,                0.92601,                0.75351,                0.43974,                 2.9028,                 1.5307,                  3.312,             0.00052079,             0.00052079,             0.00052079
                     43,                 2.5115,                 1.9897,                 2.7679,                0.72235,                0.91825,                 0.7651,                0.44818,                 2.9137,                 1.5371,                 3.3562,             0.00051608,             0.00051608,             0.00051608
                     44,                  2.499,                 1.9487,                  2.754,                0.70671,                0.95368,                0.76215,                0.44253,                 2.9315,                 1.5132,                 3.3626,             0.00051137,             0.00051137,             0.00051137
                     45,                 2.4997,                 1.9834,                 2.7367,                0.70212,                0.93763,                 0.7421,                0.43307,                  2.889,                 1.5608,                 3.2502,             0.00050665,             0.00050665,             0.00050665
                     46,                 2.4692,                 2.0033,                 2.7478,                0.71375,                0.94873,                0.76463,                0.44467,                 2.9394,                 1.5449,                 3.3369,             0.00050194,             0.00050194,             0.00050194
                     47,                 2.4891,                 1.9721,                 2.7321,                0.71007,                0.95395,                0.75152,                0.44148,                 2.8862,                 1.5102,                 3.2676,             0.00049723,             0.00049723,             0.00049723
                     48,                 2.4353,                 1.9289,                 2.7159,                 0.7102,                0.94648,                0.76666,                0.44425,                  2.908,                 1.5073,                 3.2706,             0.00049252,             0.00049252,             0.00049252
                     49,                 2.4718,                 1.9662,                 2.7439,                0.69893,                0.93044,                 0.7641,                0.43582,                 2.9832,                 1.5915,                 3.3878,              0.0004878,              0.0004878,              0.0004878
                     50,                 2.4522,                 1.9295,                 2.7376,                0.72063,                0.92545,                 0.7664,                0.44508,                 2.9335,                 1.5041,                  3.334,             0.00048309,             0.00048309,             0.00048309
                     51,                  2.438,                 1.9178,                 2.7168,                0.70661,                0.93981,                0.75704,                0.43256,                  2.994,                 1.5505,                 3.3479,             0.00047838,             0.00047838,             0.00047838
                     52,                 2.4357,                 1.9119,                 2.7217,                0.69189,                0.93391,                0.75263,                0.44376,                  2.876,                 1.6252,                 3.2721,             0.00047367,             0.00047367,             0.00047367
                     53,                  2.439,                 1.9055,                 2.7069,                0.70752,                0.94827,                0.74965,                0.43595,                 2.9219,                 1.5349,                 3.3475,             0.00046896,             0.00046896,             0.00046896
                     54,                 2.4174,                 1.8754,                 2.7231,                0.72163,                 0.8845,                0.76654,                0.44956,                 2.9218,                 1.5487,                 3.2915,             0.00046424,             0.00046424,             0.00046424
                     55,                 2.3801,                 1.8207,                 2.6955,                0.71756,                0.93333,                0.76206,                0.44459,                  2.935,                 1.5209,                 3.3625,             0.00045953,             0.00045953,             0.00045953
                     56,                 2.3739,                 1.8768,                 2.6774,                 0.7055,                 0.9338,                0.76272,                0.44403,                 2.9305,                  1.554,                 3.3777,             0.00045482,             0.00045482,             0.00045482
                     57,                 2.3827,                 1.8615,                 2.6809,                0.70608,                0.93292,                 0.7522,                0.43694,                   2.92,                 1.5308,                 3.2986,             0.00045011,             0.00045011,             0.00045011
                     58,                 2.3828,                 1.8568,                 2.6608,                0.69946,                 0.9247,                0.75833,                 0.4533,                 2.8793,                 1.5316,                 3.3431,             0.00044539,             0.00044539,             0.00044539
                     59,                 2.3652,                 1.8514,                  2.663,                0.71464,                0.94315,                0.75604,                0.43558,                 2.9691,                  1.527,                 3.3757,             0.00044068,             0.00044068,             0.00044068
                     60,                 2.3321,                 1.7887,                 2.6536,                0.70129,                0.93202,                0.75355,                 0.4341,                 3.0184,                 1.5739,                 3.4834,             0.00043597,             0.00043597,             0.00043597
                     61,                 2.3261,                 1.7954,                 2.6377,                 0.7182,                0.90781,                0.75793,                0.44072,                 2.9547,                   1.57,                 3.4099,             0.00043126,             0.00043126,             0.00043126
                     62,                 2.3354,                 1.8074,                  2.641,                0.70224,                0.91939,                0.74944,                0.42678,                 3.0084,                 1.6641,                 3.4301,             0.00042654,             0.00042654,             0.00042654
                     63,                 2.2847,                 1.7942,                 2.6172,                0.70683,                0.91735,                0.75469,                0.43482,                 2.9682,                 1.6033,                 3.4189,             0.00042183,             0.00042183,             0.00042183
                     64,                 2.3135,                 1.7764,                  2.633,                0.70423,                0.92898,                0.75204,                0.43396,                 2.9924,                 1.5965,                  3.405,             0.00041712,             0.00041712,             0.00041712
                     65,                 2.2928,                 1.7518,                  2.625,                0.70299,                0.94413,                0.75242,                   0.44,                 2.9624,                 1.5642,                 3.4135,             0.00041241,             0.00041241,             0.00041241
                     66,                 2.2909,                 1.7537,                 2.6224,                0.69875,                0.94206,                0.75059,                0.43893,                 2.9461,                 1.5849,                 3.3912,             0.00040769,             0.00040769,             0.00040769
