epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2519.9,1.3168,1.0287,1.25941,0.54392,0.74897,0.66136,0.46127,1.10923,1.16337,1.1988,0.0014588,0.0014588,0.0014588
43,2577.23,1.3418,1.05489,1.25597,0.55298,0.76756,0.68226,0.46837,1.04806,1.20619,1.17849,0.0014456,0.0014456,0.0014456
44,2634.08,1.28099,1.01543,1.25035,0.5649,0.78822,0.67432,0.46899,1.08969,1.17046,1.18568,0.0014324,0.0014324,0.0014324
45,2691.67,1.31015,1.03481,1.24303,0.56406,0.7314,0.66037,0.44927,1.10798,1.30879,1.21622,0.0014192,0.0014192,0.0014192
46,2749.38,1.32408,1.04131,1.26466,0.56114,0.7624,0.68172,0.47378,1.0687,1.1666,1.18103,0.001406,0.001406,0.001406
47,2812.76,1.32289,1.03152,1.26433,0.56826,0.73967,0.68515,0.46973,1.10659,1.17893,1.18476,0.0013928,0.0013928,0.0013928
48,2870.28,1.29781,1.02927,1.26424,0.53085,0.7376,0.64044,0.44181,1.14014,1.2908,1.2236,0.0013796,0.0013796,0.0013796
49,2926.93,1.29116,1.02499,1.25644,0.527,0.7531,0.66893,0.4617,1.08713,1.18259,1.19135,0.0013664,0.0013664,0.0013664
50,2984.31,1.27237,1.00617,1.21899,0.57754,0.76136,0.65646,0.4566,1.05123,1.19491,1.17177,0.0013532,0.0013532,0.0013532
51,3041.91,1.28315,1.00933,1.23369,0.5622,0.73864,0.68561,0.48499,1.04718,1.10628,1.16198,0.00134,0.00134,0.00134
52,3105.87,1.29103,0.98529,1.23571,0.59324,0.74278,0.68673,0.4781,1.05832,1.18014,1.18461,0.0013268,0.0013268,0.0013268
53,3163.73,1.30888,1.00188,1.23484,0.53625,0.7686,0.65103,0.45775,1.01602,1.27454,1.14512,0.0013136,0.0013136,0.0013136
54,3221.03,1.26848,0.97786,1.22377,0.56495,0.75723,0.69126,0.48631,1.07577,1.08561,1.21842,0.0013004,0.0013004,0.0013004
55,3284.5,1.25752,0.96562,1.23457,0.55555,0.76653,0.67015,0.46907,1.05364,1.22855,1.17585,0.0012872,0.0012872,0.0012872
56,3341.22,1.26498,0.98303,1.23549,0.54866,0.74277,0.68132,0.47855,1.08384,1.10038,1.19342,0.001274,0.001274,0.001274
57,3398.38,1.29526,0.99253,1.23928,0.56356,0.7469,0.66498,0.47119,1.09337,1.20749,1.189,0.0012608,0.0012608,0.0012608
58,3455.62,1.24488,0.95325,1.21779,0.58491,0.73949,0.68399,0.48743,1.04599,1.18351,1.149,0.0012476,0.0012476,0.0012476
59,3519.34,1.23063,0.95424,1.21318,0.56809,0.7438,0.67157,0.47366,1.08467,1.12403,1.18777,0.0012344,0.0012344,0.0012344
60,3576.37,1.25461,0.96284,1.22507,0.55429,0.76697,0.68527,0.48554,1.06371,1.13192,1.16708,0.0012212,0.0012212,0.0012212
61,3634.34,1.24542,0.94943,1.2145,0.55894,0.76585,0.67547,0.47291,1.07819,1.1793,1.16236,0.001208,0.001208,0.001208
62,3691.08,1.24101,0.94645,1.21007,0.58171,0.77996,0.68012,0.48512,1.0471,1.1718,1.16783,0.0011948,0.0011948,0.0011948
63,3748.21,1.23717,0.94016,1.21588,0.58951,0.7531,0.70295,0.4892,1.06215,1.17646,1.16356,0.0011816,0.0011816,0.0011816
64,3806.55,1.24218,0.93317,1.20877,0.56542,0.80475,0.66679,0.47979,1.06914,1.1628,1.17764,0.0011684,0.0011684,0.0011684
65,3864.07,1.23214,0.94497,1.20601,0.57088,0.72521,0.66596,0.48093,1.00997,1.23124,1.15875,0.0011552,0.0011552,0.0011552
66,3927.04,1.21281,0.9353,1.20538,0.5784,0.76446,0.6941,0.49621,1.04276,1.10453,1.17802,0.001142,0.001142,0.001142
67,3989.97,1.21216,0.9287,1.20083,0.53761,0.78719,0.67917,0.48031,1.0558,1.15827,1.17281,0.0011288,0.0011288,0.0011288
68,4047.21,1.21013,0.92755,1.1861,0.59831,0.68698,0.6731,0.48119,1.02923,1.08164,1.1491,0.0011156,0.0011156,0.0011156
69,4105.07,1.18945,0.92023,1.19584,0.60259,0.69318,0.6845,0.4909,1.03398,1.15594,1.14919,0.0011024,0.0011024,0.0011024
70,4162.02,1.21416,0.92335,1.20263,0.56722,0.75688,0.68945,0.4767,1.08027,1.12502,1.20144,0.0010892,0.0010892,0.0010892
71,4218.83,1.2168,0.90364,1.19873,0.57429,0.77583,0.68755,0.48756,1.05921,1.18778,1.1719,0.001076,0.001076,0.001076
72,4276.58,1.20396,0.90148,1.19882,0.59919,0.73357,0.69608,0.48533,1.04702,1.13165,1.1756,0.0010628,0.0010628,0.0010628
