epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1573.34,1.72793,1.42705,2.49531,0.79996,0.87652,0.86978,0.63259,1.89524,1.26551,2.66929,0.00104231,0.00104231,0.00104231
43,1609.37,1.71043,1.40665,2.45673,0.76907,0.84277,0.84445,0.6236,1.87336,1.50387,2.68721,0.00103288,0.00103288,0.00103288
44,1645.4,1.76112,1.37941,2.46521,0.84702,0.83131,0.86775,0.64889,1.85988,1.39846,2.69074,0.00102345,0.00102345,0.00102345
45,1681.92,1.68046,1.37676,2.45514,0.80328,0.86795,0.88743,0.66715,1.90231,1.37902,2.65392,0.00101402,0.00101402,0.00101402
46,1718.83,1.65885,1.30832,2.41841,0.81723,0.88059,0.8987,0.65075,1.86336,1.33831,2.66964,0.00100459,0.00100459,0.00100459
47,1755.28,1.65708,1.3367,2.39727,0.88438,0.83597,0.90323,0.63569,1.91833,1.30047,2.74497,0.000995156,0.000995156,0.000995156
48,1792.55,1.72292,1.32624,2.46783,0.87693,0.84055,0.9034,0.65587,1.86998,1.24791,2.7034,0.000985724,0.000985724,0.000985724
49,1829.16,1.67124,1.3789,2.43594,0.83286,0.89003,0.91147,0.65726,1.9377,1.1801,2.8469,0.000976293,0.000976293,0.000976293
50,1866.03,1.68484,1.37543,2.43177,0.89394,0.81413,0.9108,0.65439,1.9059,1.18083,2.73215,0.000966861,0.000966861,0.000966861
51,1903.05,1.60088,1.26964,2.35162,0.86777,0.8659,0.91885,0.68883,1.8808,1.13718,2.75361,0.00095743,0.00095743,0.00095743
52,1939.2,1.61411,1.3131,2.36562,0.83388,0.8762,0.90496,0.67456,1.82066,1.23016,2.68866,0.000947999,0.000947999,0.000947999
53,1975.22,1.55178,1.2811,2.34766,0.80457,0.91691,0.91113,0.65782,1.90677,1.22131,2.84528,0.000938567,0.000938567,0.000938567
54,2011.21,1.6193,1.26012,2.37391,0.83382,0.87697,0.90732,0.66592,1.88335,1.22113,2.78386,0.000929136,0.000929136,0.000929136
55,2047.31,1.60708,1.23984,2.41374,0.81755,0.83567,0.88718,0.65347,1.87746,1.32789,2.8088,0.000919704,0.000919704,0.000919704
56,2084.12,1.57773,1.27486,2.35862,0.85683,0.88566,0.89535,0.65744,1.8116,1.16939,2.70822,0.000910273,0.000910273,0.000910273
57,2120.7,1.57989,1.22167,2.35809,0.89794,0.9026,0.93954,0.68198,1.92986,1.1845,2.89663,0.000900842,0.000900842,0.000900842
58,2156.68,1.57163,1.23507,2.36083,0.90687,0.82259,0.92617,0.69394,1.82478,1.10024,2.68746,0.00089141,0.00089141,0.00089141
59,2192.7,1.60227,1.28988,2.38364,0.81749,0.89146,0.90335,0.6561,1.85784,1.1701,2.68663,0.000881979,0.000881979,0.000881979
60,2228.92,1.54833,1.15343,2.32978,0.86614,0.84583,0.90709,0.6866,1.86012,1.28478,2.72017,0.000872547,0.000872547,0.000872547
61,2265.05,1.56017,1.16006,2.33926,0.85568,0.79131,0.8919,0.66622,1.83598,1.28508,2.78319,0.000863116,0.000863116,0.000863116
62,2300.94,1.53669,1.22695,2.33127,0.83947,0.90019,0.8924,0.65299,1.80819,1.20868,2.7252,0.000853685,0.000853685,0.000853685
63,2337.06,1.55823,1.19128,2.35818,0.87185,0.90649,0.93691,0.6819,1.87674,1.14329,2.7889,0.000844253,0.000844253,0.000844253
