epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.5223,2.06279,11.5844,2.77391,0.0609,0.14907,0.02823,0.01741,2.72073,15.8283,3.82743,0.000467173,0.000467173,0.000467173
2,113.848,2.55856,4.39435,3.17459,0.00094,0.04167,0.00059,0.00033,6.11304,inf,22.5986,0.000924825,0.000924825,0.000924825
3,149.752,2.81162,3.93892,3.28853,2e-05,0.01389,1e-05,0,nan,nan,nan,0.00136361,0.00136361,0.00136361
