epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1348.73,1.95675,1.68113,2.84845,0.88519,0.72468,0.83898,0.595,2.69081,2.23231,3.81738,0.00121591,0.00121591,0.00121591
43,1379.67,1.92266,1.67875,2.84274,0.8596,0.74103,0.8323,0.59324,2.36787,2.46834,3.55636,0.00120491,0.00120491,0.00120491
44,1410.56,1.8945,1.67386,2.75739,0.82873,0.76562,0.8304,0.56191,2.81384,2.25965,3.83886,0.00119391,0.00119391,0.00119391
45,1441.34,1.88546,1.6035,2.81688,0.86379,0.74583,0.81667,0.58155,2.65735,2.22597,3.67891,0.0011829,0.0011829,0.0011829
46,1472.77,1.8478,1.60276,2.75909,0.82842,0.79286,0.83947,0.60077,2.60976,1.97636,3.72729,0.0011719,0.0011719,0.0011719
47,1503.89,1.81058,1.60777,2.7707,0.8951,0.75774,0.85474,0.60272,2.94246,2.18128,3.99612,0.0011609,0.0011609,0.0011609
48,1534.09,1.86564,1.53744,2.76875,0.86282,0.80059,0.86433,0.597,2.54108,2.10933,3.84754,0.0011499,0.0011499,0.0011499
49,1565.31,1.80775,1.54583,2.76531,0.92673,0.78549,0.91054,0.61637,2.54244,2.06119,3.69928,0.00113889,0.00113889,0.00113889
50,1596.06,1.76593,1.48693,2.71486,0.90794,0.68351,0.8403,0.58586,2.56323,2.40057,3.71269,0.00112789,0.00112789,0.00112789
51,1626.65,1.77122,1.4687,2.70846,0.97485,0.70519,0.87538,0.62578,2.55588,2.00441,3.4906,0.00111689,0.00111689,0.00111689
52,1657.24,1.77107,1.44344,2.67061,0.79688,0.74693,0.83288,0.57065,2.81923,2.11373,3.82023,0.00110589,0.00110589,0.00110589
53,1689.04,1.72094,1.46144,2.70035,0.91649,0.76831,0.87408,0.63705,2.43256,1.84486,3.57552,0.00109489,0.00109489,0.00109489
